1.000000,132.277030
2.000000,131.467902
3.000000,130.668236
4.000000,129.877924
5.000000,129.096855
6.000000,128.324920
7.000000,127.562015
8.000000,126.808032
9.000000,126.062867
10.000000,125.326418
11.000000,124.598582
12.000000,123.879259
13.000000,123.168349
14.000000,122.465753
15.000000,121.771375
16.000000,121.085118
17.000000,120.406887
18.000000,119.736589
19.000000,119.074130
20.000000,118.419420
21.000000,117.772367
22.000000,117.132881
23.000000,116.500875
24.000000,115.876261
25.000000,115.258952
26.000000,114.648863
27.000000,114.045909
28.000000,113.450007
29.000000,112.861075
30.000000,112.279031
31.000000,111.703794
32.000000,111.135286
33.000000,110.573426
34.000000,110.018138
35.000000,109.469344
36.000000,108.926969
37.000000,108.390937
38.000000,107.861175
39.000000,107.337608
40.000000,106.820165
41.000000,106.308774
42.000000,105.803365
43.000000,105.303866
44.000000,104.810209
45.000000,104.322326
46.000000,103.840149
47.000000,103.363612
48.000000,102.892648
49.000000,102.427192
50.000000,101.967181
51.000000,101.512549
52.000000,101.063235
53.000000,100.619175
54.000000,100.180310
55.000000,99.746577
56.000000,99.317917
57.000000,98.894271
58.000000,98.475579
59.000000,98.061785
60.000000,97.652830
61.000000,97.248658
62.000000,96.849213
63.000000,96.454440
64.000000,96.064284
65.000000,95.678691
66.000000,95.297609
67.000000,94.920983
68.000000,94.548762
69.000000,94.180894
70.000000,93.817330
71.000000,93.458017
72.000000,93.102906
73.000000,92.751949
74.000000,92.405097
75.000000,92.062301
76.000000,91.723515
77.000000,91.388691
78.000000,91.057783
79.000000,90.730745
80.000000,90.407532
81.000000,90.088100
82.000000,89.772403
83.000000,89.460399
84.000000,89.152044
85.000000,88.847295
86.000000,88.546111
87.000000,88.248449
88.000000,87.954269
89.000000,87.663529
90.000000,87.376190
91.000000,87.092211
92.000000,86.811554
93.000000,86.534179
94.000000,86.260048
95.000000,85.989124
96.000000,85.721368
97.000000,85.456743
98.000000,85.195214
99.000000,84.936744
100.000000,84.681296
